model_name,family,representation,parameter_count,hyperparameters,duration,inference_duration,best_epoch,checkpoint_path,checkpoint_sha,accuracy,default_precision,default_recall,default_f1,macro_f1,weighted_f1,roc_auc,pr_auc,tn,fp,fn,tp
logistic_regression,baseline,tabular,92,"{""solver"": ""lbfgs"", ""regularization"": ""l2"", ""C"": 1.0, ""iteration_count"": 29, ""convergence_status"": ""converged""}",0.007384538650512695,0.0002219676971435547,,artifacts\models\phase3_smoke\logistic_regression.joblib,298f86a6d8603c9cd7b23604c8209f43847c77afe6998ecd6e049f35a873a29e,0.68,0.35714285714285715,0.4166666666666667,0.38461538461538464,0.5841995841995842,0.6879833679833679,0.6951754385964912,0.35624656953659184,58,18,14,10
gradient_boosting,baseline,tabular,1600,"{""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3, ""subsample"": 0.8}",0.18033981323242188,0.0004966259002685547,,artifacts\models\phase3_smoke\gradient_boosting.joblib,a7a0c9868502a27905cfbf8b765d40bd372e6b64b3b4f9ad246de9b16fce5d6f,0.71,0.38095238095238093,0.3333333333333333,0.35555555555555557,0.5842293906810035,0.7031397849462365,0.6540570175438597,0.4124271207143923,63,13,16,8
gru_small,recurrent,temporal+static,7009,"{""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""maximum_epochs"": 50, ""early_stopping_patience"": 7, ""early_stopping_min_delta"": 0.0001, ""gradient_clipping_max_norm"": 5.0}",0.0680077075958252,0.002320528030395508,1.0,artifacts\models\phase3_smoke\gru_small.pt,55739841d505619bf2a615a3bf114dac6b5d08a7eac465126aa4459f63d7814d,0.42,0.2702702702702703,0.8333333333333334,0.40816326530612246,0.41976790716286516,0.42580232092837134,0.5778508771929824,0.35431210800376717,22,54,4,20
gru_deep,recurrent,temporal+static,43713,"{""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""maximum_epochs"": 50, ""early_stopping_patience"": 7, ""early_stopping_min_delta"": 0.0001, ""gradient_clipping_max_norm"": 5.0}",0.07016539573669434,0.0029571056365966797,1.0,artifacts\models\phase3_smoke\gru_deep.pt,2525b857f870a3d39ad912c26903aea164c4da3d6ec77b087674628c38bae7c8,0.31,0.25806451612903225,1.0,0.41025641025641024,0.2894655545257955,0.22665430954587582,0.6085526315789473,0.3167768550809252,7,69,0,24
lstm_deep,recurrent,temporal+static,56449,"{""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""maximum_epochs"": 50, ""early_stopping_patience"": 7, ""early_stopping_min_delta"": 0.0001, ""gradient_clipping_max_norm"": 5.0}",0.1252429485321045,0.0023539066314697266,1.0,artifacts\models\phase3_smoke\lstm_deep.pt,1d94acd2a46e9463a6612bb0cde833f60271d9de309ef2483d7d2fb84c3ee454,0.44,0.2948717948717949,0.9583333333333334,0.45098039215686275,0.43977591036414565,0.4339495798319328,0.6354166666666667,0.3025599538604527,21,55,1,23
conv1d_small,cnn,temporal+static,3681,"{""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""maximum_epochs"": 50, ""early_stopping_patience"": 7, ""early_stopping_min_delta"": 0.0001, ""gradient_clipping_max_norm"": 5.0}",0.06147193908691406,0.0024466514587402344,1.0,artifacts\models\phase3_smoke\conv1d_small.pt,3b926aa93e52880f2d5c2bec5cc4f289da2044398b1ef172e7a239353dc00eb3,0.57,0.1935483870967742,0.25,0.21818181818181817,0.46081504702194354,0.5869843260188088,0.5,0.24209558582813015,51,25,18,6
conv1d_deep,cnn,temporal+static,12033,"{""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""maximum_epochs"": 50, ""early_stopping_patience"": 7, ""early_stopping_min_delta"": 0.0001, ""gradient_clipping_max_norm"": 5.0}",0.0708003044128418,0.0023221969604492188,0.0,artifacts\models\phase3_smoke\conv1d_deep.pt,6bcbf98a105b923bd8ffb5fb6fcd0b9ac71dfced53cf8c1f26f2081c40472187,0.31,0.25274725274725274,0.9583333333333334,0.4,0.29411764705882354,0.23905882352941177,0.650767543859649,0.34235731299146244,8,68,1,23
conv1d_multiscale,cnn,temporal+static,6049,"{""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""maximum_epochs"": 50, ""early_stopping_patience"": 7, ""early_stopping_min_delta"": 0.0001, ""gradient_clipping_max_norm"": 5.0}",0.058602094650268555,0.002717256546020508,0.0,artifacts\models\phase3_smoke\conv1d_multiscale.pt,2f1b838218493b0cbcf4e883b6585e0623248c9b46d3aecf2d6824af32294711,0.76,0.0,0.0,0.0,0.4318181818181818,0.6563636363636364,0.5855263157894737,0.2814246866677547,76,0,24,0
