model_name,family,representation,parameter_count,hyperparameters,duration,inference_duration,best_epoch,checkpoint_path,checkpoint_sha,accuracy,default_precision,default_recall,default_f1,macro_f1,weighted_f1,roc_auc,pr_auc,tn,fp,fn,tp
logistic_regression,baseline,tabular,92,"{""solver"": ""lbfgs"", ""regularization"": ""l2"", ""C"": 1.0, ""iteration_count"": 266, ""convergence_status"": ""converged""}",0.5573592185974121,0.002069234848022461,,artifacts\models\phase3\logistic_regression.joblib,cff5103be4b14f6e189c100a55a6e1c82827ec7558bfc2fe70da9f33dbaba13f,0.7862945219745886,0.5150753768844221,0.5790960451977402,0.5452127659574468,0.7027724597552004,0.7906265110563014,0.7795379944384255,0.5585047766732416,3160,579,447,615
gradient_boosting,baseline,tabular,1600,"{""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3, ""subsample"": 0.8}",12.01429271697998,0.007963895797729492,,artifacts\models\phase3\gradient_boosting.joblib,d415bd8d1393cba15c37d6002ca516d0da3a90b3a4e15b4fe830ae90775522c0,0.7642157883774213,0.474964234620887,0.6252354048964218,0.5398373983739837,0.6906691892457989,0.7747718145663258,0.7952066803363942,0.5742389469156484,3005,734,398,664
gru_small,recurrent,temporal+static,7009,"{""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""maximum_epochs"": 50, ""early_stopping_patience"": 7, ""early_stopping_min_delta"": 0.0001, ""gradient_clipping_max_norm"": 5.0}",21.472957372665405,0.060936689376831055,23.0,artifacts\models\phase3\gru_small.pt,6bf17a17169f340e8c727507104834fe8cc347c1b4b084e7356aba968f2e58e7,0.757550510310352,0.4649725274725275,0.6374764595103578,0.5377283558379666,0.6867072044576621,0.7697766436900979,0.7890984930560907,0.5675539877370132,2960,779,385,677
gru_deep,recurrent,temporal+static,43713,"{""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""maximum_epochs"": 50, ""early_stopping_patience"": 7, ""early_stopping_min_delta"": 0.0001, ""gradient_clipping_max_norm"": 5.0}",35.24026608467102,0.08875751495361328,20.0,artifacts\models\phase3\gru_deep.pt,80ad92cae0c4cf49e749ba22b9938c306e3e377a3bc91be21a4ced16805c42e9,0.7548427410956051,0.46179401993355484,0.6544256120527306,0.5414881184261784,0.6870908964554489,0.7682778651670417,0.7924642982881612,0.5721972535162797,2929,810,367,695
lstm_deep,recurrent,temporal+static,56449,"{""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""maximum_epochs"": 50, ""early_stopping_patience"": 7, ""early_stopping_min_delta"": 0.0001, ""gradient_clipping_max_norm"": 5.0}",35.36230206489563,0.07325124740600586,26.0,artifacts\models\phase3\lstm_deep.pt,f111fc4529cb26fd597b09b7dc96788e06ca74d613e071f6e79e82f95c752a68,0.7513018121224745,0.45576407506702415,0.64030131826742,0.5324980422866092,0.6815441403260515,0.7646510773082608,0.7927675103719183,0.5664723994567019,2927,812,382,680
conv1d_small,cnn,temporal+static,3681,"{""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""maximum_epochs"": 50, ""early_stopping_patience"": 7, ""early_stopping_min_delta"": 0.0001, ""gradient_clipping_max_norm"": 5.0}",21.566067695617676,0.05013418197631836,32.0,artifacts\models\phase3\conv1d_small.pt,3c2dce4f7a8328835e4bef26253c0a859de2ba27d5ccd8ce15f965cd02d5adcc,0.7590085398875235,0.4671280276816609,0.635593220338983,0.5384922217790188,0.6877098177253093,0.7709123805972566,0.7887194779513944,0.5465149848082537,2969,770,387,675
conv1d_deep,cnn,temporal+static,12033,"{""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""maximum_epochs"": 50, ""early_stopping_patience"": 7, ""early_stopping_min_delta"": 0.0001, ""gradient_clipping_max_norm"": 5.0}",22.50448703765869,0.06108999252319336,27.0,artifacts\models\phase3\conv1d_deep.pt,45cd020f8747dcee5b6018e0d9f69664838896062d35efc07c6663ae88bea0bb,0.7535930014580295,0.4596935376415723,0.6497175141242938,0.538431525555989,0.6851839400759061,0.7670119370910734,0.7919006864580548,0.5647251943455486,2928,811,372,690
conv1d_multiscale,cnn,temporal+static,6049,"{""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""maximum_epochs"": 50, ""early_stopping_patience"": 7, ""early_stopping_min_delta"": 0.0001, ""gradient_clipping_max_norm"": 5.0}",20.357733964920044,0.06499361991882324,24.0,artifacts\models\phase3\conv1d_multiscale.pt,862c633eb8c64e732faadc8bf2bcc85ce8e8c2b8214f7a7357fcbdb6ec716c53,0.7608831493438867,0.4700557103064067,0.635593220338983,0.5404323458767014,0.6894166233888012,0.7724890897291242,0.7890584509287508,0.5546579872786375,2978,761,387,675
